image_id,image_id,heading,description,general_classification,sub_classification,tags,color_classification,mime_type,file_size_bytes,source_path,folder_id,folder_order,image_url,processed_at,file_name,model_used,prompt_tokens,completion_tokens,total_tokens,estimated_cost_usd
12mwHNk38q6nAzJJ4Pjbt_N-PEk4_AE0p,12mwHNk38q6nAzJJ4Pjbt_N-PEk4_AE0p,Real Estate Investment Concept,"A hand holds a model house against a blue sky, symbolizing property investment or real estate services.",Real Estate,Property Investment,"hand, model house, real estate, property, investment, blue sky, miniature, housing, construction, architecture",Cool Blue,image/png,739490,root,1vrNekG1Qr56NK1QjgFO2uocib1KKbnxU,0,https://drive.google.com/file/d/12mwHNk38q6nAzJJ4Pjbt_N-PEk4_AE0p/view?usp=drivesdk,2026-03-16T08:40:31.394Z,1470311915Picture401-1024x790 (1).png,gpt-4.1-nano-2025-04-14,2193,51,2244,0.0002397
1bfyfDjsG4TxyBpl5ux8WIH56OKEk20JY,1bfyfDjsG4TxyBpl5ux8WIH56OKEk20JY,Professional Web Development Solutions,"A person works on a computer with digital graphics overlay, representing modern web and software development services.",Technology Services,Digital Interface,"web development, computer, digital graphics, technology, software, coding, modern, business, digital transformation, user interface",Cool Blue,image/jpeg,230907,root,1vrNekG1Qr56NK1QjgFO2uocib1KKbnxU,0,https://drive.google.com/file/d/1bfyfDjsG4TxyBpl5ux8WIH56OKEk20JY/view?usp=drivesdk,2026-03-16T08:40:45.854Z,web-design-development-company-sri-lanka-software-development-solutions1.jpg,gpt-4.1-nano-2025-04-14,3017,52,3069,0.0003225
1zrBGvlIjtRf49pEyg5b-O7lC642-nHLB,1zrBGvlIjtRf49pEyg5b-O7lC642-nHLB,Real Estate Investment Trends,A business professional analyzes a graphical representation of fluctuating real estate investments in an urban market setting.,Business and Finance,Data Visualization,"business, graph, real estate, investment, urban, analysis, buildings, charts, finance, market trends",Cool Blue,image/jpeg,416102,root,1vrNekG1Qr56NK1QjgFO2uocib1KKbnxU,0,https://drive.google.com/file/d/1zrBGvlIjtRf49pEyg5b-O7lC642-nHLB/view?usp=drivesdk,2026-03-16T08:41:00.267Z,Real-Estate-Investment-Dropping.jpg,gpt-4.1-nano-2025-04-14,1951,50,2001,0.0002151
1J_nwiVlTcSN7oVkkUEqXzgXsTp90UsUy,1J_nwiVlTcSN7oVkkUEqXzgXsTp90UsUy,Digital Industry and Innovation,"A business professional interacts with digital icons representing technology, industry, and innovation on a virtual interface.",Technology and Industry,Digital Interface Interaction,"business professional, digital technology, innovation, industry icons, virtual interface, tablet, technology network, connectivity, automation, data analysis",Cool Blue,image/jpeg,1048442,root,1vrNekG1Qr56NK1QjgFO2uocib1KKbnxU,0,https://drive.google.com/file/d/1J_nwiVlTcSN7oVkkUEqXzgXsTp90UsUy/view?usp=drivesdk,2026-03-16T08:41:26.706Z,industry-3087393_1920.jpg,gpt-4.1-mini-2025-04-14,2552,55,2607,0.0011088
1gJUzhb-sE5qpgtI8Xot49wL8r6qlR_Kt,1gJUzhb-sE5qpgtI8Xot49wL8r6qlR_Kt,Digital Marketing Network Visualization,A digital illustration featuring marketing and communication icons interconnected on a blue hexagonal grid background.,Digital Marketing,Network and Communication Icons Visualization,"digital marketing, network, communication, icons, hexagonal grid, technology, data visualization, business, connectivity, blue background",Cool Blue,image/jpeg,214863,root,1vrNekG1Qr56NK1QjgFO2uocib1KKbnxU,0,https://drive.google.com/file/d/1gJUzhb-sE5qpgtI8Xot49wL8r6qlR_Kt/view?usp=drivesdk,2026-03-16T08:41:52.235Z,Digital-Marketing-is-everyones-business.jpg,gpt-4.1-mini-2025-04-14,1071,56,1127,0.000518
1Ld1gAfCxT1rg4sS43AR1TiYl9gVbB0FJ,1Ld1gAfCxT1rg4sS43AR1TiYl9gVbB0FJ,Digital Cybersecurity Concept Banner,A stylized image of padlocks on a circuit board represents digital security and data protection in a modern technology environment.,Cybersecurity,Digital Security Illustration,"cybersecurity, digital locks, circuit board, data protection, cybersecurity concept, technology, encryption, network security, digital security, cyber protection",Cool Blue,image/jpeg,177469,root,1vrNekG1Qr56NK1QjgFO2uocib1KKbnxU,0,https://drive.google.com/file/d/1Ld1gAfCxT1rg4sS43AR1TiYl9gVbB0FJ/view?usp=drivesdk,2026-03-16T08:42:06.497Z,cyber security banner.jpg,gpt-4.1-nano-2025-04-14,2072,58,2130,0.0002304
16Wa7mS0EHhNRGkFwBr04hsdlQY9qNH0L,16Wa7mS0EHhNRGkFwBr04hsdlQY9qNH0L,Digital Innovation and Connectivity,"A polygonal digital hand interacts with a connected globe, symbolizing technology and global communication.",Technology,Digital Illustration,"digital hand, globe, connectivity, technology, network, polygonal, global communication, innovation, digital transformation, futuristic",Cool Blue,image/jpeg,293904,root,1vrNekG1Qr56NK1QjgFO2uocib1KKbnxU,0,https://drive.google.com/file/d/16Wa7mS0EHhNRGkFwBr04hsdlQY9qNH0L/view?usp=drivesdk,2026-03-16T08:42:21.290Z,slide1.jpeg,gpt-4.1-nano-2025-04-14,3239,52,3291,0.0003447
1A4ttHQnG9EfgAj_jyok0GmujtqHmKJHw,1A4ttHQnG9EfgAj_jyok0GmujtqHmKJHw,Data Center Network Flow,Visual representation of data transmission and binary code in a modern data center environment.,Information Technology,Data Center Visualization,"data center, binary code, digital transmission, network, technology, server room, data flow, cyber security, information technology, digital infrastructure",Vibrant Multi-color,image/jpeg,498757,root,1vrNekG1Qr56NK1QjgFO2uocib1KKbnxU,0,https://drive.google.com/file/d/1A4ttHQnG9EfgAj_jyok0GmujtqHmKJHw/view?usp=drivesdk,2026-03-16T08:42:36.366Z,bg-solutions.jpg,gpt-4.1-nano-2025-04-14,2471,60,2531,0.0002711
1C-NLeDttUTs6McsK0PS7Ou9v4QqLCzDj,1C-NLeDttUTs6McsK0PS7Ou9v4QqLCzDj,Video Testimonial Recording Setup,A person is recorded on a DSLR camera for a professional video testimonial in a well-lit indoor setting.,Video Production,Indoor Video Recording,"professional camera, DSLR, video testimonial, indoor setting, interview, recording setup, well-lit, studio, filming equipment, content creation",Bright Neutral Tones,image/jpeg,240647,root,1vrNekG1Qr56NK1QjgFO2uocib1KKbnxU,0,https://drive.google.com/file/d/1C-NLeDttUTs6McsK0PS7Ou9v4QqLCzDj/view?usp=drivesdk,2026-03-16T08:42:52.474Z,3.Testimonials_image.jpg,gpt-4.1-nano-2025-04-14,3750,58,3808,0.0003982
1C3zNHvkZP5_Ab5FzUQg71pL5V6fhMH2H,1C3zNHvkZP5_Ab5FzUQg71pL5V6fhMH2H,Professional Business Team Portrait,A diverse group of five professionals standing confidently in a modern office environment.,Corporate Team,Corporate Leadership Team,"business, professionals, office, teamwork, confident, diverse, formal attire, modern environment, collaboration, executive",Cool Blue,image/jpeg,1925854,root,1vrNekG1Qr56NK1QjgFO2uocib1KKbnxU,0,https://drive.google.com/file/d/1C3zNHvkZP5_Ab5FzUQg71pL5V6fhMH2H/view?usp=drivesdk,2026-03-16T08:43:08.085Z,1.Hero Section_image.jpg,gpt-4.1-nano-2025-04-14,2445,51,2496,0.0002649
1_iVMRjyLRG3SF2WB18DULfy1d-5QvAxb,1_iVMRjyLRG3SF2WB18DULfy1d-5QvAxb,Business Partnership Meeting,"Three professionals engage in a formal discussion around a table with a laptop, emphasizing collaboration and partnership.",Corporate Meeting,Business Meeting,"corporate, professionals, handshake, discussion, laptop, teamwork, office, collaboration, formal attire, business environment",Cool Blue,image/jpeg,181349,root,1vrNekG1Qr56NK1QjgFO2uocib1KKbnxU,0,https://drive.google.com/file/d/1_iVMRjyLRG3SF2WB18DULfy1d-5QvAxb/view?usp=drivesdk,2026-03-16T08:43:21.838Z,2.Trigent Partners & Aliances_image.jpg,gpt-4.1-nano-2025-04-14,3751,51,3802,0.0003955
1uTma0D_1xTFCJq0qJIZ7XdSJBPpwxr9A,1uTma0D_1xTFCJq0qJIZ7XdSJBPpwxr9A,Abstract Digital Network Design,A vibrant digital network with glowing interconnected nodes and lines on a dark background.,Abstract Technology,Digital Network Visualization,"digital, network, nodes, lines, glowing, abstract, technology, connectivity, cyberspace, futuristic",Vibrant Multi-color,image/jpeg,799329,root,1vrNekG1Qr56NK1QjgFO2uocib1KKbnxU,0,https://drive.google.com/file/d/1uTma0D_1xTFCJq0qJIZ7XdSJBPpwxr9A/view?usp=drivesdk,2026-03-16T08:43:38.129Z,3.Contact Us_image.jpg,gpt-4.1-nano-2025-04-14,2414,53,2467,0.0002626
1jpSYQFujQupx_66lhmTx5GiVicmBSPJZ,1jpSYQFujQupx_66lhmTx5GiVicmBSPJZ,Blue Diagonal Striped Background,Abstract blue background with diagonal stripes creating a modern and professional visual texture.,Backgrounds,Abstract Backgrounds,"blue, diagonal stripes, modern, professional, abstract, texture, digital, design, geometric, clean",Cool Blue,image/png,129812,root,1vrNekG1Qr56NK1QjgFO2uocib1KKbnxU,0,https://drive.google.com/file/d/1jpSYQFujQupx_66lhmTx5GiVicmBSPJZ/view?usp=drivesdk,2026-03-16T08:43:51.648Z,15F.News_JFeb 03 2021.png,gpt-4.1-nano-2025-04-14,561,50,611,0.0000761
1mYmSEp_LUtpPYDMEAcccZ33FBlAdJABL,1mYmSEp_LUtpPYDMEAcccZ33FBlAdJABL,Abstract Digital Waveform,"A vibrant, flowing digital wave pattern with glowing lines and dynamic curves in blue and multicolor tones.",Digital Art,Digital Waveform Art,"digital, wave, glowing lines, dynamic curves, abstract, vibrant, multicolor, technology, motion, futuristic",Vibrant Multi-color,image/png,283926,root,1vrNekG1Qr56NK1QjgFO2uocib1KKbnxU,0,https://drive.google.com/file/d/1mYmSEp_LUtpPYDMEAcccZ33FBlAdJABL/view?usp=drivesdk,2026-03-16T08:44:11.645Z,15B.News_Jan 25 2023.png,gpt-4.1-nano-2025-04-14,565,56,621,0.0000789
1e_oCaUTz7CAsvc3Q0i_0p-XD5PeFiTl2,1e_oCaUTz7CAsvc3Q0i_0p-XD5PeFiTl2,Abstract Blue Digital Wave,A dynamic blue wave pattern composed of small dots creating a flowing digital effect.,Abstract Digital Art,Digital Wave Pattern,"digital, abstract, blue, flowing, dots, wave, technology, modern, dynamic, digital art",Cool Blue,image/png,285098,root,1vrNekG1Qr56NK1QjgFO2uocib1KKbnxU,0,https://drive.google.com/file/d/1e_oCaUTz7CAsvc3Q0i_0p-XD5PeFiTl2/view?usp=drivesdk,2026-03-16T08:44:26.490Z,15C.News_Nov 11 2022.png,gpt-4.1-nano-2025-04-14,561,50,611,0.0000761
1sQJjgMwIjVOYbDuI48gZK_c0UuilnZbX,1sQJjgMwIjVOYbDuI48gZK_c0UuilnZbX,Businesswoman Analyzing Financial Data,Professional reviewing financial charts and data on a smartphone in a modern office environment.,Financial Services,Office Environment with Financial Data,"businesswoman, financial charts, smartphone, modern office, financial data, corporate, technology, professional, analysis, digital",Cool Blue,image/jpeg,646362,root,1vrNekG1Qr56NK1QjgFO2uocib1KKbnxU,0,https://drive.google.com/file/d/1sQJjgMwIjVOYbDuI48gZK_c0UuilnZbX/view?usp=drivesdk,2026-03-16T08:44:40.845Z,13.FinancialServices_image.jpg,gpt-4.1-nano-2025-04-14,3572,55,3627,0.0003792
1TybL7NraxrCx-SOqyg4cXjMPFfq4Zwdq,1TybL7NraxrCx-SOqyg4cXjMPFfq4Zwdq,Digital Data Tunnel Visualization,Abstract digital tunnel with binary code representing data flow and technology concepts.,Technology,Digital Data Visualization,"binary code, data flow, technology, digital tunnel, abstract, cyber, futuristic, cyberspace, data network, digital art",Cool Blue,image/jpeg,321413,root,1vrNekG1Qr56NK1QjgFO2uocib1KKbnxU,0,https://drive.google.com/file/d/1TybL7NraxrCx-SOqyg4cXjMPFfq4Zwdq/view?usp=drivesdk,2026-03-16T08:44:55.288Z,15A.News_June 15 2023.jpg,gpt-4.1-nano-2025-04-14,1394,55,1449,0.0001614
19kTPjM-kqbdmW5_PDNMsrncaiyXtThI1,19kTPjM-kqbdmW5_PDNMsrncaiyXtThI1,Business Document Review,Two professionals reviewing and signing documents during a business meeting in a modern office setting.,Business,Legal/Contract Review,"business meeting, signing documents, professional, office, paperwork, collaboration, agreement, corporate, modern office, teamwork",Warm Tones,image/jpeg,111346,root,1vrNekG1Qr56NK1QjgFO2uocib1KKbnxU,0,https://drive.google.com/file/d/19kTPjM-kqbdmW5_PDNMsrncaiyXtThI1/view?usp=drivesdk,2026-03-16T08:45:16.613Z,10C.Explore More_Blog_image.jpg,gpt-4.1-nano-2025-04-14,1443,54,1497,0.0001659
1OIFTP4yjLYYJgxuI6-XXtZpG0LNuDZSn,1OIFTP4yjLYYJgxuI6-XXtZpG0LNuDZSn,Collaborative Software Development,Team members collaborate on software engineering and data analysis using a desktop computer in a modern office setting.,Technology,Software Development Team Meeting,"team, collaboration, computer, coding, data analysis, office, technology, discussion, modern workspace, digital",Cool Blue,image/jpeg,393829,root,1vrNekG1Qr56NK1QjgFO2uocib1KKbnxU,0,https://drive.google.com/file/d/1OIFTP4yjLYYJgxuI6-XXtZpG0LNuDZSn/view?usp=drivesdk,2026-03-16T08:45:30.712Z,12.QualityEngineeringTransformation_image.jpg,gpt-4.1-nano-2025-04-14,2449,52,2501,0.0002657
1kNPb4pk8p66AF8ZjVyesWCDMG2a72lvF,1kNPb4pk8p66AF8ZjVyesWCDMG2a72lvF,Abstract Digital Light Waves,"Dynamic golden light trails create an abstract, futuristic digital wave pattern on a dark background.",Abstract Technology,Digital Light Art,"light trails, digital wave, futuristic, abstract, golden, technology, motion, energy, digital pattern",Warm Tones,image/png,181127,root,1vrNekG1Qr56NK1QjgFO2uocib1KKbnxU,0,https://drive.google.com/file/d/1kNPb4pk8p66AF8ZjVyesWCDMG2a72lvF/view?usp=drivesdk,2026-03-16T08:45:44.377Z,15D.News_Oct 10 2022.png,gpt-4.1-nano-2025-04-14,562,51,613,0.0000766
1iwbbIg8w3AIrKS3t_i27ln_EL5rgNiaG,1iwbbIg8w3AIrKS3t_i27ln_EL5rgNiaG,Professional Working on Laptop,A business professional in a light gray suit works on a laptop with colleagues standing in the background.,Business Workplace,Corporate Office Work,"business professional, laptop, office, colleagues, formal attire, teamwork, modern workspace, professional environment, business meeting, collaboration",Cool Blue,image/jpeg,205352,root,1vrNekG1Qr56NK1QjgFO2uocib1KKbnxU,0,https://drive.google.com/file/d/1iwbbIg8w3AIrKS3t_i27ln_EL5rgNiaG/view?usp=drivesdk,2026-03-16T08:45:59.462Z,10A.Explore More_CaseStudy_image.jpg,gpt-4.1-nano-2025-04-14,2513,54,2567,0.0002729
1H6QUFYZbUUOhxcDc-YtWL6VD-rqpc2jV,1H6QUFYZbUUOhxcDc-YtWL6VD-rqpc2jV,Abstract Wavy Line Pattern,A dynamic abstract design featuring flowing purple and pink wavy lines on a dark background.,Abstract Design,Digital Abstract Art,"purple, pink, wavy lines, flowing, digital design, abstract pattern, vibrant, modern, dynamic",Vibrant Multi-color,image/jpeg,72045,root,1vrNekG1Qr56NK1QjgFO2uocib1KKbnxU,0,https://drive.google.com/file/d/1H6QUFYZbUUOhxcDc-YtWL6VD-rqpc2jV/view?usp=drivesdk,2026-03-16T08:46:13.219Z,15E.News_May 12 2022.jpg,gpt-4.1-nano-2025-04-14,563,54,617,0.0000779
1bwnCmFqmDW3WQ-PN8E6QsC9DnWFsV4Vj,1bwnCmFqmDW3WQ-PN8E6QsC9DnWFsV4Vj,Tablet Displaying Business Analytics,Person interacting with a tablet showing business data charts in an industrial workspace.,Business Technology,Digital Business Analytics,"tablet, business data, analytics, industrial workspace, touchscreen, charts, graphs, technology, data visualization, corporate",Neutral Tones with Bright Accents,image/jpeg,192611,root,1vrNekG1Qr56NK1QjgFO2uocib1KKbnxU,0,https://drive.google.com/file/d/1bwnCmFqmDW3WQ-PN8E6QsC9DnWFsV4Vj/view?usp=drivesdk,2026-03-16T08:46:29.554Z,10B.Explore More_WhitePaper_image.jpg,gpt-4.1-nano-2025-04-14,1769,57,1826,0.0001997
1h8zdWNeJpDmc59ceQLS4FPamOnMWzAZK,1h8zdWNeJpDmc59ceQLS4FPamOnMWzAZK,Digital Network Connectivity,Abstract representation of interconnected nodes symbolizing digital data flow and network systems.,Technology,Network Systems Illustration,"digital, connectivity, nodes, network, data flow, abstract, technology, system, interconnected",Cool Blue,image/jpeg,186588,root,1vrNekG1Qr56NK1QjgFO2uocib1KKbnxU,0,https://drive.google.com/file/d/1h8zdWNeJpDmc59ceQLS4FPamOnMWzAZK/view?usp=drivesdk,2026-03-16T08:46:45.642Z,9.Quality Engineering Offerings_image.jpg,gpt-4.1-nano-2025-04-14,2001,48,2049,0.0002193
10LjZLWEDqfBBj_MMSDE0g6h_fMICl8cz,10LjZLWEDqfBBj_MMSDE0g6h_fMICl8cz,High-Speed Racing Car Motion,A racing car captured with motion blur effect emphasizing speed and dynamic movement on the track.,Automotive Sports,Motorsport Photography,"racing car, motion blur, speed, track, automotive, vehicle, racing, dynamic movement, high-speed, sports car",Vibrant Multi-color,image/jpeg,1350009,root,1vrNekG1Qr56NK1QjgFO2uocib1KKbnxU,0,https://drive.google.com/file/d/10LjZLWEDqfBBj_MMSDE0g6h_fMICl8cz/view?usp=drivesdk,2026-03-16T08:47:04.589Z,5.OutSpace_image.jpg,gpt-4.1-nano-2025-04-14,2389,59,2448,0.0002625
15tgvzZ8lHac__zkPOeeDSf_iQizzwRvL,15tgvzZ8lHac__zkPOeeDSf_iQizzwRvL,Surfer Riding Large Ocean Wave,"A surfer skillfully rides a large, vibrant blue wave with others waiting in the background near a coastal shoreline.",Outdoor Sports,Wave Surfing,"surfing, ocean, wave, water sports, athlete, coastal, adventure, blue, outdoor, active lifestyle",Cool Blue,image/jpeg,1510568,root,1vrNekG1Qr56NK1QjgFO2uocib1KKbnxU,0,https://drive.google.com/file/d/15tgvzZ8lHac__zkPOeeDSf_iQizzwRvL/view?usp=drivesdk,2026-03-16T08:47:31.260Z,4.OutThink_image.jpg,gpt-4.1-mini-2025-04-14,1347,52,1399,0.000622
1RN45AztbDEKHpveRHPW4UzG8NDpcLnda,1RN45AztbDEKHpveRHPW4UzG8NDpcLnda,Ballet Dancer in Studio,"A ballerina performs an elegant pose in a spacious, rustic dance studio with a textured concrete wall background.",Performing Arts,Ballet Dance,"ballet, dancer, studio, dance pose, tutu, pointe shoes, performing arts, elegance, movement, textured wall",Muted Tones,image/jpeg,485469,root,1vrNekG1Qr56NK1QjgFO2uocib1KKbnxU,0,https://drive.google.com/file/d/1RN45AztbDEKHpveRHPW4UzG8NDpcLnda/view?usp=drivesdk,2026-03-16T08:47:47.878Z,6G.OutShine_Logo.jpg,gpt-4.1-nano-2025-04-14,3459,55,3514,0.0003679
1MHJBK0BvtKdSiIiCzDsJ63UBvE9y0ccF,1MHJBK0BvtKdSiIiCzDsJ63UBvE9y0ccF,Software Quality Engineering,Professional working on software code in a modern office environment focused on quality engineering services.,Technology Services,Software Development Workspace,"office, coding, computer, programming, technology, software engineering, modern, collaboration, digital, workspace",Cool Blue,image/jpeg,680715,root,1vrNekG1Qr56NK1QjgFO2uocib1KKbnxU,0,https://drive.google.com/file/d/1MHJBK0BvtKdSiIiCzDsJ63UBvE9y0ccF/view?usp=drivesdk,2026-03-16T08:48:03.583Z,7.Quality Engineering Services_image.jpg,gpt-4.1-nano-2025-04-14,4041,50,4091,0.0004241
11ioECxsIUepVr_MQpmv9wIqDytHtf-U0,11ioECxsIUepVr_MQpmv9wIqDytHtf-U0,Healthcare Data Presentation,Professional presenting medical data and DNA analysis to a group in a modern conference room.,Healthcare Technology,Medical Conference Presentation,"healthcare, DNA analysis, medical data, conference room, professional presentation, scientific research, group discussion, digital display, healthcare technology, genetics",Cool Blue,image/jpeg,238050,root,1vrNekG1Qr56NK1QjgFO2uocib1KKbnxU,0,https://drive.google.com/file/d/11ioECxsIUepVr_MQpmv9wIqDytHtf-U0/view?usp=drivesdk,2026-03-16T08:48:19.498Z,3B.Outplay_HealthCare.jpg,gpt-4.1-nano-2025-04-14,2303,58,2361,0.0002535
